skill_name,domain_family,primary_use,primary_outputs,default_decision_labels
agentic-ai-governance,security and threat,govern agentic deployments and bounded autonomy,governance profile|oversight plan|rollout plan,go|go with conditions|hold|do not deploy
agentic-ai-security,security and threat,threat-model and harden agentic systems,threat model|monitoring plan|risk memo,deploy|deploy with conditions|hold|block pending remediation
ai-board-reporting-executive-oversight,assurance and oversight,turn ai risk and governance data into board-ready reporting,board pack|dashboard|decision memo,information only|decision required|approval sought|risk acceptance sought
ai-incident-management-incident-disclosure,assurance and oversight,run ai incident response and disclosure workflows,incident assessment|disclosure memo|after-action review,proceed|proceed with conditions|hold pending remediation|restricted use only|do not proceed
ai-system-inventory-shadow-ai-discovery,inventory supplier and dependency,build ai inventory and shadow ai discovery programs,inventory register|discovery log|attestation plan,retain and monitor|approve with conditions|move to review|restrict|decommission
aibom-ai-bill-of-materials,inventory supplier and dependency,create and assess ai bills of materials,aibom register|dependency map|supplier evidence request,proceed|proceed with conditions|hold pending remediation|restricted use only|do not proceed
colorado-ai-act-impact-assessment,regulatory,screen and operationalize colorado ai act duties,screening memo|impact assessment|notice pack,go|go with conditions|hold|likely out of scope
content-provenance-synthetic-media-transparency,classification provenance and landscape,design provenance and synthetic media transparency controls,credential rollout plan|decision log|executive transparency memo,proceed|proceed with conditions|hold pending remediation|restricted use only|do not proceed
eu-ai-act-compliance,regulatory,screen and operationalize eu ai act duties,classification memo|fria|gap analysis,proceed|proceed with conditions|hold pending remediation|restricted use only|do not proceed
financial-services-ai-risk-management-framework,framework governance,apply fs ai governance controls and evidence,control implementation register|internal review pack|executive memo,proceed|proceed with conditions|hold pending remediation|restricted use only|do not proceed
human-oversight-meaningful-human-control,assurance and oversight,design and evidence human oversight,oversight plan|appeal log|effectiveness review,go|go with conditions|hold|do not deploy
iso-42001-governance,framework governance,build or assess ai management systems,gap analysis|policy|statement of applicability,proceed|proceed with conditions|hold pending remediation|restricted use only|do not proceed
mit-ai-governance-mapping,classification provenance and landscape,map governance documents and identify blind spots,coverage matrix|priority log|executive memo,proceed|proceed with conditions|hold pending deeper review|research before decision
mit-ai-risk-repository,classification provenance and landscape,classify and prioritize ai risks using mit taxonomies,risk register|mitigation plan|executive risk summary,proceed|proceed with conditions|hold pending remediation|restricted deployment only|do not proceed
mitre-atlas-ai-security,security and threat,threat-model ai-enabled systems using mitre atlas,threat model register|exercise plan|executive risk memo,proceed|proceed with conditions|hold pending remediation|restricted deployment only|do not proceed
mitre-atlas-to-controls-mapping,security and threat,convert atlas findings into iso-aligned controls and evidence,control mapping tracker|implementation register|residual-risk memo,proceed|proceed with conditions|hold pending remediation|restricted deployment only|do not proceed
nist-ai-600-1-genai-risk-management,framework governance,apply nist genai profile workflows,genai risk review|provenance plan|test plan,proceed|proceed with conditions|hold pending remediation|restricted use only|do not proceed
nist-ai-rmf-governance,framework governance,apply nist ai rmf governance and crosswalk logic,gap analysis|risk register|crosswalk,proceed|proceed with conditions|hold pending remediation|restricted use only|do not proceed
oecd-ai-governance-and-classification,classification provenance and landscape,classify ai systems and operationalize oecd principles,classification profile|inventory record|principles operating plan,proceed|proceed with conditions|hold pending remediation|restricted use only|do not proceed
owasp-agentic-ai-mapping-to-iso-42001,security and threat,map owasp agentic findings into iso-aligned controls,mapped control tracker|evidence request pack|decision memo,proceed|proceed with conditions|hold pending remediation|restricted use only|do not proceed
south-korea-high-impact-ai-readiness,regulatory,prepare south korea ai basic act readiness artifacts,screening memo|readiness gap analysis|labeling pack,proceed|proceed with conditions|hold pending remediation|restricted use only|do not proceed
tevv-ai-assurance-pre-deployment-testing,assurance and oversight,run tevv and pre-deployment approval work,test plan|metric register|go-no-go memo,proceed|proceed with conditions|hold pending remediation|restricted use only|do not proceed
third-party-ai-supplier-risk,inventory supplier and dependency,approve and monitor third-party ai suppliers,due diligence pack|contract annex|contingency plan,approve|approve with conditions|restricted approval|hold|do not approve
